OBJECTID,IDTRAMO,FECHAACTUAL,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,Shape__Length
1,5_330338_12__517_I,20230414,5,330338,C2,C-2,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,11511.4911,30,5,93,151,,,5__2_____1_IT_1_5_12__517_TI_I_2,,,,5__2___,11511.4911161054
2,5_330357_12__518_I,20230414,5,330357,C2,C-2,2,1,12,,518,18,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20010621,19930101,,4060.4553,30,5,93,151,,,5__2_____2_IT_1_5_12__518_TI_I_18,,,,5__2___,4060.44725320202
3,5_364228_12__517_I,20230414,5,364228,C8,C-8,1,1,12,,517,2,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,11511.4911,30,5,93,151,,,5__8_____1_IT_1_5_12__517_TI_I_2,,,,5__8___,11511.4911161054
4,5_364229_12__518_I,20230414,5,364229,C8,C-8,2,1,12,,518,31,TI,I,AZUQUECA,19,046,AZUQUECA DE HENARES,E1,Paseo de la Estacion SN SN,20190919,20181105,,4060.4553,30,5,93,151,,,5__8_____2_IT_1_5_12__518_TI_I_31,,,,5__8___,4060.44725320202
5,5_330357_38__572_C,20230414,5,330357,C2,C-2,2,1,38,,572,19,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20010621,19930101,,11511.1731,30,5,93,224,,,5__2_____2_IT_1_5_38__572_TI_C_19,,,,5__2___,11511.1731446211
6,5_364229_38__572_C,20230414,5,364229,C8,C-8,2,1,38,,572,32,TI,C,GUADALAJARA,19,130,GUADALAJARA,E1,Plaza de la Estación SN SN,20190919,20181105,,11511.1731,30,5,93,224,,,5__8_____2_IT_1_5_38__572_TI_C_32,,,,5__8___,11511.1731446211
7,5_330338_2__493_I,20230414,5,330338,C2,C-2,1,1,2,,493,5,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20010621,19930101,,3253.4389,30,5,93,125,,,5__2_____1_IT_1_5_2__493_TI_I_5,,,,5__2___,3253.45668326129
8,5_330357_2__494_I,20230414,5,330357,C2,C-2,2,1,2,,494,15,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20010621,19930101,,2443.8146,30,5,93,125,,,5__2_____2_IT_1_5_2__494_TI_I_15,,,,5__2___,2443.83614351522
9,5_364227_2__494_C,20230414,5,364227,C7,C-7,2,1,2,,494,24,TI,C,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,2443.8146,30,5,93,125,,,5__7_____2_IT_1_5_2__494_TI_C_24,,,,5__7___,2443.83614351522
10,5_364228_2__493_I,20230414,5,364228,C8,C-8,1,1,2,,493,5,TI,I,ALCALÁ DE HENARES,28,005,ALCALA DE HENARES,B3,Calle   Pedro Lainez N 2,20190919,20181105,,3253.4389,30,5,93,125,,,5__8_____1_IT_1_5_2__493_TI_I_5,,,,5__8___,3253.45668326129
