OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
1,10_50,20150709,10,50,PLAZA DE TOROS,Fte. a Nº20 Calle Julio Romero de Torres.,S,50,TORO,,93,413,U,28,106,10601,1060199,99999,Calle, ,Desconocida,N,SN,,,,01,040,,T10661,1060199999,,4,B2,3,106-007,821,,582-3,2,3,20070606,20070605,,435675,4455333,T,,,,
2,10_56,20150709,10,56,REYES CATOLICOS,Calle Reyes Católicos nº35,S,56,RYKT,,93,421,U,28,106,10601,1060102,00115,Calle, ,Reyes Católicos,N,37,,,,01,032,,T106483,1060102017,,4,B2,3,106-013,827,,582-3,2,3,20070607,20070605,,434605,4453934,T,,,,
3,10_3,20150709,10,3,VIRGEN DEL CORTIJO,Subterránea,I,3,5113,,93,430,U,28,079,07901,0790101,10535,Avda,de,Manoteras,N,54,,,28050,16,099,166,T0791127,0790101142,,7,A,2,079-16-435,435,,559-2,2,3,20070220,20070401,,444091,4482267,T,,,,
4,10_32,20150709,10,32,CANTABRIA,Superficie,S,32,,,93,390,U,28,022,02211,0221199,C0009,Avda,de,Cantabria,N,3,,,28660,01,008,,T022389,0221199999,,5,B2,3,022-008,957,,558-4,2,3,20070221,20070726,,426752,4472198,T,,,,
5,10_36,20150709,10,36,SIGLO XXI,Superficie,S,36,,,93,422,U,28,022,02201,0220101,00561,Avda,del,Siglo XXI,N,1,,,28660,01,016,,T022318,0220101022,,5,B2,3,022-007,956,,558-4,2,3,20070221,20070726,,424366,4473314,T,,,,
6,10_26,20150709,10,26,JOSE ISBERT,Superficie,S,26,,,93,405,U,28,115,11520,1152099,A0386,Calle, ,José Isbert,N,2,,,28223,01,018,,T115879,1152099999,,6,B1,3,115-022,1009,,559-3,2,3,20070221,20070726,,433071,4472135,T,,,,
7,10_12,20150709,10,12,COLONIA DE LOS ANGELES,Superficie,S,12,,,93,394,U,28,115,11520,1152001,A0131,Ctra, ,Carabanchel (M-502),N,63,,,28223,01,018,,T115788,1152001004,,6,B1,3,115-020,1007,,559-3,2,3,20070220,20070726,,433552,4473458,T,,,,
8,10_21,20150709,10,21,AVENIDA DE EUROPA,Subterránea,I,21,,,93,382,U,28,115,11504,1150401,A0180,Avda, ,Comunidad de Madrid,N,3,,,28224,02,018,,T115434,1150401017,,6,B1,3,115-010,997,,559-1,2,3,20070220,20070726,,432850,4477027,T,,,,
9,10_60,20150709,10,60,TIERRA NORTE,,S,60,TRRN,,93,425,U,28,106,10603,1060399,C0051,Avda,de las,Estrellas,N,34,,,,01,040,,T106138,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435952,4452872,T,,,,
10,10_63,20150709,10,63,VENUS SUR,esq. Calle Planeta Venus,S,63,VNUS,,93,429,U,28,106,10603,1060399,C0050,Avda,de los,Planetas,N,32,,,,01,040,,T106560,1060399999,,4,B2,3,106-012,826,,582-3,2,3,20080125,20080125,,435858,4453415,T,,,,
