route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
5__C1___,5_I11,5_I11-5_I11_00:03:00_2_29_5__C1___,PRÍNCIPE PÍO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_05:29:00_1_109_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_05:44:00_1_1_5__C1___,ATOCHA,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:02:00_2_147_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:10:00_1_110_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:17:00_2_74_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:27:00_1_39_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:32:00_2_148_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:34:00_2_2_5__C1___,PRÍNCIPE PÍO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:40:00_1_111_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:47:00_2_75_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_06:51:00_1_40_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:00:00_2_149_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:02:00_2_30_5__C1___,PRÍNCIPE PÍO,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:07:00_1_112_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:16:00_2_76_5__C1___,CHAMARTÍN,Aeropuerto T4-Chamartín-Recoletos-Atocha-P.Pío,1,,5__1____2__IT_1,0
5__C1___,5_I11,5_I11-5_I11_07:20:00_1_41_5__C1___,AEROPUERTO T4,P.Pío-Atocha-Recoletos-Chamartín-Aeropuerto T4,0,,5__1____1__IT_1,0
